date,open,high,low,close,volume,symbol
2025-02-24,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-21,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-20,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-19,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-18,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-14,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-13,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-12,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-11,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-10,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-07,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-06,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-05,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-04,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-02-03,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-01-31,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-01-30,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-01-29,0.1405,0.1405,0.1405,0.1405,0,TCS
2025-01-28,0.273,0.273,0.1349,0.1405,230978,TCS
2025-01-27,0.2214,0.2839,0.175,0.2,104636,TCS
2025-01-24,0.275,0.2839,0.2214,0.2839,33596,TCS
2025-01-23,0.235,0.285,0.2114,0.2214,20935,TCS
2025-01-22,0.2625,0.28,0.2301,0.28,22725,TCS
2025-01-21,0.24,0.2849,0.23,0.2725,87432,TCS
2025-01-17,0.25,0.2849,0.24,0.25,14373,TCS
2025-01-16,0.24,0.2849,0.24,0.25,9224,TCS
2025-01-15,0.24,0.296,0.24,0.25,10140,TCS
2025-01-14,0.299,0.299,0.235,0.24,10172,TCS
2025-01-13,0.23,0.2997,0.23,0.2997,10686,TCS
2025-01-10,0.28,0.2997,0.23,0.23,17271,TCS
2025-01-08,0.23,0.2989,0.227,0.26,107587,TCS
2025-01-07,0.23,0.289,0.22,0.23,33909,TCS
2025-01-06,0.24,0.3,0.211,0.29,44726,TCS
2025-01-03,0.215,0.32,0.1606,0.23,125815,TCS
2025-01-02,0.16,0.34,0.16,0.25,96524,TCS
2024-12-31,0.31,0.34,0.1937,0.25,103592,TCS
2024-12-30,0.2002,0.4119,0.1667,0.3,154381,TCS
2024-12-27,0.17,0.3999,0.105,0.2001,295498,TCS
2024-12-26,0.1811,0.2088,0.155,0.155,113556,TCS
2024-12-24,0.2083,0.2088,0.1761,0.2,94896,TCS
2024-12-09,2.19,2.84,2.01,2.65,348229,TCS
2024-12-06,2.01,2.38,2.01,2.16,184186,TCS
2024-12-05,2.3,2.42,1.9,2.02,280577,TCS
2024-12-04,2.42,3.39,2.32,2.37,921487,TCS
2024-12-03,2.49,2.51,1.79,2.36,517582,TCS
2024-12-02,3.5,3.5,2.45,2.55,315646,TCS
2024-11-29,3.45,3.5,3.18,3.5,88711,TCS
2024-11-27,3.68,3.68,3.32,3.44,102701,TCS
2024-11-26,3.84,3.84,3.4807,3.61,69262,TCS
2024-11-25,4.12,4.22,3.71,3.81,81625,TCS
2024-11-22,3.86,4.1988,3.73,3.97,83019,TCS
2024-11-21,3.9,4.34,3.685,3.88,161951,TCS
2024-11-20,4.23,4.48,4.05,4.31,122478,TCS
2024-11-19,4.11,4.37,4.0,4.29,74334,TCS
2024-11-18,4.5,4.5,4.1,4.13,129022,TCS
2024-11-15,5.29,5.35,4.36,4.39,144106,TCS
2024-11-14,5.41,5.66,5.15,5.17,114265,TCS
2024-11-13,5.0,5.5,4.73,5.44,276046,TCS
2024-11-12,4.5,5.0,4.47,4.73,118293,TCS
2024-11-11,4.41,4.71,4.36,4.51,91341,TCS
2024-11-08,4.47,4.6146,4.33,4.36,40176,TCS
2024-11-07,4.43,4.7441,4.23,4.54,91286,TCS
2024-11-06,4.75,4.86,4.301,4.49,111279,TCS
2024-11-05,4.52,5.1,4.32,4.86,103578,TCS
2024-11-04,4.56,4.98,4.36,4.64,199650,TCS
2024-11-01,4.71,4.89,4.22,4.5,295976,TCS
2024-10-31,5.39,5.5,3.5,4.64,1265043,TCS
2024-10-30,8.03,8.03,4.8032,5.24,1106299,TCS
2024-10-29,9.97,9.97,8.3,8.39,171658,TCS
2024-10-28,9.39,10.23,9.15,9.58,114883,TCS
2024-10-25,10.1,10.8,9.37,9.57,89248,TCS
2024-10-24,10.78,11.19,9.53,10.25,152373,TCS
2024-10-23,12.0,12.4141,10.865,11.13,114045,TCS
